,classe,polaridade,subjetividade,tamanho_medio_palavra,tamanho_medio_sentenca,num_exclamacoes,num_maiusculas,proporcao_stopwords,diversidade_lexica,num_numeros,entidades_nomeadas,proporcao_pronomes,num_links
261,1,-0.10289855072463766,0.4210144927536231,4.420731707317073,24.5,0,13,0.44642857142857145,0.4176829268292683,9,33,0.08673469387755102,0
262,0,0.035398482898482894,0.35962413712413704,5.303329223181258,26.34285714285714,0,2,0.39045553145336226,0.42909987669543775,17,96,0.04013015184381779,0
263,1,0.1718599033816425,0.5403381642512077,4.482678983833718,18.846153846153847,0,9,0.42857142857142855,0.45265588914549654,3,28,0.10408163265306122,0
264,0,0.003993055555555558,0.3645833333333333,5.315789473684211,36.25,0,7,0.38620689655172413,0.49473684210526314,6,40,0.029885057471264367,0
265,0,0.16144467817003028,0.4063926488222262,5.070154577883472,31.1875,0,5,0.3967935871743487,0.43638525564803804,28,95,0.06513026052104208,0
266,1,0.0199585137085137,0.44367784992785,4.919389978213507,28.05263157894737,0,7,0.42964352720450283,0.5163398692810458,8,61,0.06191369606003752,0
267,0,0.018899521531100475,0.25637958532695376,5.160949868073879,25.294117647058822,0,2,0.3395348837209302,0.5092348284960422,7,70,0.02558139534883721,0
268,1,0.15653508771929822,0.4766666666666667,4.865671641791045,23.523809523809526,2,10,0.4008097165991903,0.5870646766169154,23,37,0.06072874493927125,0
269,1,0.02059178743961353,0.3991545893719806,4.706411698537683,42.57692307692308,2,19,0.4363143631436314,0.42744656917885265,7,101,0.06955736224028906,0
270,0,0.15000000000000002,0.5625,5.065934065934066,23.0,0,2,0.34782608695652173,0.6263736263736264,2,13,0.017391304347826087,0
271,1,0.06152597402597402,0.381319573283859,4.5092592592592595,27.72222222222222,0,33,0.42685370741482964,0.5208333333333334,18,51,0.07014028056112225,0
272,1,0.015626984126984135,0.37380839002267574,4.909937888198757,26.964285714285715,0,37,0.42119205298013246,0.43788819875776397,19,99,0.05695364238410596,3
273,0,-0.02076655052264808,0.34028648857917143,5.0573613766730405,25.75,0,9,0.3705501618122977,0.491395793499044,12,81,0.043689320388349516,0
274,1,0.029687499999999988,0.26541666666666663,5.292490118577075,43.57142857142857,0,13,0.34262295081967215,0.48221343873517786,24,79,0.019672131147540985,0
275,0,0.058944559228650155,0.43060433884297517,4.8384279475982535,22.257142857142856,0,11,0.4249037227214377,0.44250363901018924,8,48,0.07445442875481387,0
276,0,0.09086491739552964,0.39306365403304167,4.916546762589928,28.166666666666668,0,18,0.37514792899408284,0.479136690647482,26,83,0.04378698224852071,0
277,1,0.14717917041030246,0.49609896131122544,4.997955010224949,19.49122807017544,0,26,0.43924392439243926,0.4396728016359918,11,58,0.0738073807380738,0
278,1,0.12166130166130164,0.6284036334036336,4.707692307692308,25.88888888888889,0,8,0.36909871244635195,0.5641025641025641,7,43,0.06652360515021459,0
279,0,0.06439393939393939,0.27045454545454545,4.824817518248175,39.125,0,3,0.38977635782747605,0.5474452554744526,5,26,0.051118210862619806,0
280,0,0.06567400192400193,0.40645648663505807,4.709377901578459,33.743589743589745,0,3,0.42857142857142855,0.403899721448468,35,98,0.05243161094224924,0
281,1,0.17263949500791598,0.470723623355202,4.377889447236181,21.486486486486488,1,54,0.48721174004192874,0.34723618090452263,36,125,0.10649895178197065,0
282,0,0.0065789473684210505,0.3320175438596491,5.156794425087108,27.583333333333332,0,3,0.37462235649546827,0.5609756097560976,10,35,0.03625377643504532,0
283,0,0.08379416282642091,0.46496218834928504,4.860759493670886,28.75,0,1,0.3826086956521739,0.4962025316455696,1,81,0.04782608695652174,0
284,0,0.041666666666666664,0.4166666666666667,5.476190476190476,31.666666666666668,0,2,0.29473684210526313,0.75,0,13,0.0,0
285,1,-0.08222222222222222,0.6066666666666667,4.510344827586207,16.8,2,8,0.39880952380952384,0.6689655172413793,1,13,0.05952380952380952,0
286,1,0.07521043771043771,0.45256734006734,5.2936046511627906,28.266666666666666,2,30,0.2830188679245283,0.6424418604651163,9,71,0.030660377358490566,0
287,1,0.08193473193473196,0.6102661227661225,4.685767097966728,19.5,5,14,0.3660968660968661,0.4491682070240296,28,74,0.0641025641025641,2
288,0,0.08472752481788626,0.4545186874704947,4.811623246492986,32.375,0,19,0.44787644787644787,0.32197728790915164,45,138,0.07280750137892995,0
289,0,0.12893689643689646,0.395622988122988,5.073627844712182,26.636363636363637,2,6,0.34584755403868034,0.4738955823293173,31,100,0.04323094425483504,0
290,1,-0.09090909090909088,0.32878787878787885,4.973214285714286,17.75,0,2,0.33098591549295775,0.6964285714285714,1,4,0.028169014084507043,0
291,0,0.06112865947611711,0.5077425587595078,4.862032085561498,28.692307692307693,0,6,0.4119749776586238,0.41497326203208557,18,76,0.05630026809651475,0
292,0,0.11277845418470417,0.370537968975469,4.805708013172338,27.923076923076923,0,2,0.4279155188246097,0.433589462129528,23,96,0.06611570247933884,0
293,1,-0.05185185185185185,0.2932132682132682,5.093117408906883,26.727272727272727,0,3,0.3673469387755102,0.5789473684210527,6,17,0.03741496598639456,0
294,1,0.0,0.0,5.25,11.333333333333334,3,0,0.20588235294117646,0.85,2,5,0.08823529411764706,0
295,1,0.16177248677248676,0.4411375661375661,4.9602272727272725,22.11111111111111,3,3,0.39195979899497485,0.5795454545454546,1,13,0.03015075376884422,0
296,0,0.05913037942449708,0.4519191919191919,4.650112866817156,28.236842105263158,0,3,0.4249767008387698,0.37697516930022573,22,83,0.05405405405405406,0
297,0,0.015692640692640702,0.4215909090909091,5.099447513812155,27.866666666666667,0,1,0.3923444976076555,0.49171270718232046,4,46,0.023923444976076555,0
298,0,0.07282025714609983,0.3905181834395315,4.895184135977337,21.61904761904762,1,17,0.36123348017621143,0.42870632672332387,26,130,0.05066079295154185,0
299,1,0.09036435786435788,0.4065584415584416,4.28101644245142,18.609756097560975,1,19,0.45478374836173,0.43796711509715996,11,72,0.11664482306684142,1
300,0,-0.00033333333333333435,0.3553333333333334,4.758620689655173,35.875,0,4,0.3519163763066202,0.5043103448275862,17,50,0.017421602787456445,0
301,0,0.09811736530795938,0.46131589944708773,4.938422065426556,27.457142857142856,1,16,0.40270551508844954,0.3011545862732521,138,434,0.04708636836628512,0
302,1,0.0,0.0,5.428956834532374,16.0375,0,0,0.0,0.5080935251798561,6,152,0.003117692907248636,0
303,0,-0.0010416666666666682,0.13854166666666667,4.978021978021978,53.0,0,2,0.3867924528301887,0.6153846153846154,2,15,0.04716981132075472,0
304,0,0.10540293040293039,0.43511904761904757,5.120649651972157,26.842105263157894,0,4,0.3607843137254902,0.5336426914153132,10,62,0.03137254901960784,0
305,0,0.10555555555555557,0.2611111111111111,5.28125,37.5,0,1,0.30666666666666664,0.734375,0,12,0.013333333333333334,0
306,0,0.15945578231292515,0.38823129251700683,4.856447688564477,27.38888888888889,0,6,0.4279918864097363,0.5304136253041363,13,43,0.06693711967545639,0
307,1,-0.02664203612479474,0.5295566502463055,4.518779342723005,25.57894736842105,0,6,0.4691358024691358,0.5093896713615024,3,21,0.08641975308641975,0
308,1,0.1279761904761905,0.373469387755102,4.932330827067669,26.176470588235293,0,17,0.4449438202247191,0.48872180451127817,10,23,0.060674157303370786,0
309,1,0.06480263157894735,0.4057644110275688,5.241509433962264,21.0,0,8,0.42857142857142855,0.5150943396226415,6,28,0.06031746031746032,0
310,0,-0.013750000000000002,0.3641666666666666,4.669642857142857,37.42857142857143,0,3,0.42366412213740456,0.5580357142857143,2,24,0.05725190839694656,0
311,1,0.10865538847117795,0.4615764411027569,4.896675651392632,23.672727272727272,1,20,0.42319508448540705,0.4474393530997305,6,33,0.08064516129032258,0
312,1,0.01590909090909091,0.24139009139009143,4.941489361702128,27.75,0,3,0.38738738738738737,0.6170212765957447,8,14,0.036036036036036036,0
313,0,0.23888888888888893,0.46388888888888885,5.363636363636363,30.0,0,1,0.4,0.6767676767676768,2,11,0.041666666666666664,0
314,1,0.0882142857142857,0.45428571428571435,4.760606060606061,26.571428571428573,1,8,0.44086021505376344,0.5424242424242425,9,27,0.06720430107526881,0
315,1,0.08351648351648353,0.4501831501831501,4.584415584415584,30.38888888888889,0,14,0.4680073126142596,0.45021645021645024,4,37,0.07495429616087751,0
316,0,-0.05706833816589915,0.39841540573247886,5.272020725388601,33.357142857142854,0,3,0.37044967880085655,0.5414507772020726,1,18,0.04068522483940043,0
317,1,0.03333333333333333,0.3178571428571429,4.8354430379746836,43.5,0,7,0.3448275862068966,0.759493670886076,0,17,0.011494252873563218,0
318,1,0.0,0.15833333333333333,5.303030303030303,9.25,0,0,0.2972972972972973,0.9090909090909091,0,1,0.02702702702702703,0
319,1,0.14947299077733858,0.34552042160737806,4.767676767676767,41.0,0,43,0.3048780487804878,0.5909090909090909,5,34,0.02032520325203252,0
320,1,0.03874223602484473,0.5704968944099378,4.64367816091954,24.294117647058822,1,14,0.4019370460048426,0.5545977011494253,8,42,0.04116222760290557,0
321,1,0.05236075036075038,0.4714853257853258,4.617073170731707,23.114093959731544,12,114,0.4631242740998839,0.3209059233449477,56,260,0.08188153310104529,0
322,1,0.11699308755760368,0.46747311827956994,4.751322751322752,20.258064516129032,0,8,0.46178343949044587,0.4673721340388007,6,50,0.07802547770700637,0
323,0,0.05998622589531682,0.29869146005509645,5.32541567695962,22.217391304347824,0,6,0.34637964774951074,0.5700712589073634,10,72,0.043052837573385516,0
324,0,0.04290633302315546,0.3415856158379522,4.591463414634147,32.13953488372093,0,10,0.4196816208393632,0.33885017421602787,40,137,0.03183791606367583,0
325,1,0.0,0.0,6.384615384615385,9.0,0,1,0.1111111111111111,1.0,0,1,0.0,0
326,1,0.08058084029066172,0.4764649041434756,4.888382687927107,27.05263157894737,2,14,0.3968871595330739,0.5056947608200456,10,42,0.05642023346303502,0
327,1,0.07640219329077261,0.49042303699968787,4.318372131971194,18.40502253702511,143,699,0.48584823146625616,0.1365349187740747,434,1186,0.10352307315537207,13
328,0,0.0875,0.5125,4.962264150943396,43.666666666666664,0,1,0.3053435114503817,0.5754716981132075,2,17,0.022900763358778626,0
329,1,-0.05316666666666669,0.5115,4.900793650793651,22.23076923076923,0,6,0.42214532871972316,0.6111111111111112,1,20,0.09342560553633218,0
330,1,-0.01907432844932845,0.4948272792022792,4.365503080082136,29.05128205128205,0,14,0.4616063548102383,0.4106776180698152,9,53,0.09532215357458076,0
331,1,0.11098484848484849,0.40946969696969704,5.089655172413793,24.857142857142858,0,0,0.5344827586206896,0.5862068965517241,3,2,0.10344827586206896,0
332,1,0.0,0.75,4.298245614035087,17.5,1,31,0.4142857142857143,0.7894736842105263,2,4,0.04285714285714286,2
333,0,0.16,0.32999999999999996,5.1937984496124034,37.75,0,1,0.304635761589404,0.5658914728682171,2,26,0.013245033112582781,0
334,0,0.09927849927849926,0.502908048741382,4.581967213114754,20.024390243902438,0,35,0.4518879415347138,0.3509687034277198,7,105,0.09500609013398295,0
335,0,0.007295759795759798,0.4392479742479742,5.135076252723311,30.289473684210527,0,13,0.3370981754995656,0.5,36,97,0.043440486533449174,1
336,1,0.7,0.6000000000000001,5.024390243902439,48.0,0,0,0.3541666666666667,0.7560975609756098,2,3,0.0625,0
337,1,0.14132822833994707,0.41462466931216935,4.344051446945338,15.583333333333334,3,11,0.39572192513368987,0.5337620578778135,1,28,0.12032085561497326,0
338,1,0.29814814814814805,0.6560185185185186,4.798319327731092,29.9,0,14,0.33444816053511706,0.47478991596638653,9,30,0.03678929765886288,0
339,1,-0.017129629629629637,0.648539886039886,4.670138888888889,22.8125,0,6,0.40273972602739727,0.5659722222222222,6,32,0.0684931506849315,0
340,0,0.11818787878787879,0.34178181818181813,4.950113378684807,33.46666666666667,0,6,0.36852589641434264,0.5102040816326531,6,47,0.04780876494023904,0
341,1,0.15909090909090906,0.4553030303030303,4.903225806451613,8.2,2,4,0.1951219512195122,0.8387096774193549,0,5,0.04878048780487805,0
342,0,0.09478458049886623,0.3280612244897959,5.213250517598344,34.05882352941177,0,11,0.3177892918825561,0.5921325051759835,5,40,0.025906735751295335,0
343,0,-0.06212962962962963,0.5071296296296298,4.814910025706941,30.266666666666666,0,1,0.44493392070484583,0.5244215938303342,4,22,0.08370044052863436,0
344,1,0.15999999999999998,0.25,4.702127659574468,17.333333333333332,0,0,0.40384615384615385,0.7021276595744681,1,7,0.07692307692307693,0
345,0,-0.04982030548068286,0.4970350404312668,4.703403565640195,28.77777777777778,1,12,0.3861003861003861,0.4473257698541329,14,77,0.06306306306306306,3
346,0,0.12423186569528034,0.3414145813536058,4.972727272727273,27.916666666666668,0,9,0.3940298507462687,0.4109090909090909,17,162,0.05,0
347,1,0.07100533395176252,0.26560374149659866,5.0051679586563305,39.45454545454545,1,12,0.3986175115207373,0.4883720930232558,6,33,0.04838709677419355,0
348,1,0.13971631205673757,0.47535460992907796,5.017391304347826,28.6,0,13,0.38927738927738925,0.49130434782608695,10,75,0.05827505827505827,0
349,1,0.09648989898989903,0.48924242424242415,4.6061776061776065,23.0,2,23,0.34332833583208394,0.44594594594594594,8,64,0.06146926536731634,1
350,0,0.021743406076033197,0.3540935759156101,4.6260634184068055,20.20754716981132,0,54,0.43666355431061316,0.3294663573085847,85,186,0.07967631497043262,0
351,0,0.04521415759733515,0.3519328153673948,4.926079734219269,26.446428571428573,0,6,0.4010803511141121,0.4219269102990033,26,130,0.05739365293720459,0
352,0,0.07512862820239873,0.5446292550800746,4.7204419889502764,25.177777777777777,0,19,0.4060017652250662,0.41325966850828727,8,101,0.06090026478375993,0
353,1,0.05652298850574713,0.3447290640394088,4.86734693877551,27.864864864864863,0,11,0.4180407371483996,0.4444444444444444,25,85,0.06013579049466537,0
354,1,0.10026839826839826,0.257021645021645,4.699658703071672,28.5,0,3,0.45321637426900585,0.5051194539249146,23,44,0.07894736842105263,0
355,1,0.03428030303030303,0.4774621212121213,5.553030303030303,23.571428571428573,0,12,0.24848484848484848,0.7878787878787878,1,32,0.006060606060606061,0
